#Mod_Priority,#Mod_Status,#Mod_Name,#Note,#Primary_Category,#Nexus_ID,#Mod_Nexus_URL,#Mod_Version,#Install_Date,#Download_File_Name
"0014","+","Weather Adjuster","","Immersion",46816,"https://www.nexusmods.com/morrowind/mods/46816","3.0.0.0","2025/03/25 20:46:08","Weather Adjuster-46816-3-0-1673390947.7z"
"0015","+","Weapon Sheathing","","Immersion",46069,"https://www.nexusmods.com/morrowind/mods/46069","1.6.0.0","2025/03/28 15:32:36","WeaponSheathing1.6-OpenMW-46069-1-6-1565439130.7z"
"0016","+","MWSE Blood Diversity","","Models and Textures",47913,"https://www.nexusmods.com/morrowind/mods/47913","1.2.0.0","2025/03/25 20:49:36","MWSE Blood Diversity-47913-1-2-1615362718.rar"
"0017","+","Solthas Blight Weather Pack","","Immersion",52354,"https://www.nexusmods.com/morrowind/mods/52354","1.3.0.0","2025/03/25 20:49:40","Solthas Blight Weather Pack-52354-1-3-1677197272.7z"
"0018","+","Lore-Friendly Balmora Suran and Caldera Ground Textures","","Models and Textures",43680,"https://www.nexusmods.com/morrowind/mods/43680","1.1.0.0","2025/03/25 20:49:46","2048x2048 version-43680-1-1.zip"
"0019","+","Diseases Restored","","Immersion",45228,"https://www.nexusmods.com/morrowind/mods/45228","1.6.0.0","2025/03/25 20:49:49","Diseases Restored-45228-1-6-1582460483.7z"
"0020","+","lgnpc_tel_mora_","","",0,"","d2020.10.25.0","2025/03/25 20:52:08","C:/Users/New/Desktop/lgnpc_mods.zip"
"0021","+","lgnpc_hla_oad_","","",0,"","d2013.11.4.0","2025/03/25 20:55:02","C:/Users/New/Desktop/lgnpc_mods.zip"
"0022","+","lgnpc_aldruhn_","","",0,"","d2016.6.15.0","2025/03/25 20:53:07","C:/Users/New/Desktop/lgnpc_mods.zip"
"0023","+","lgnpc_ald_velothi_","","",0,"","d2013.11.4.0","2025/03/25 20:54:24","C:/Users/New/Desktop/lgnpc_mods.zip"
"0024","+","Better Balanced Combat","","Gameplay",46596,"https://www.nexusmods.com/morrowind/mods/46596","4.2.0.0","2025/03/25 21:15:48","Better Balanced Combat-46596-4-2-1596332448.7z"
"0025","+","The Caldera Ancient Mine 2020","","Quests and Adventures",48774,"https://www.nexusmods.com/morrowind/mods/48774","1.1.0.0","2025/03/25 21:15:54","The Caldera Ancient Mine-48774-v1-1-1598827149.zip"
"0026","+","Disturbing Dreams","","Dungeons and Locations",51285,"https://www.nexusmods.com/morrowind/mods/51285","1.1.0.0","2025/03/25 21:15:58","Disturbing Dreams-51285-1-1-1675541049.zip"
"0027","+","Graphic Herbalism - MWSE and OpenMW Edition","","Immersion",46599,"https://www.nexusmods.com/morrowind/mods/46599","f1.04","2025/03/25 21:16:19","Graphic Herbalism MWSE - OpenMW-46599-1-04-1558643353.7z"
"0028","+","Intelligent Textures","","Models and Textures",47469,"https://www.nexusmods.com/morrowind/mods/47469","2.0.0.0","2025/03/25 21:16:25","Intelligent Textures-47469-2-0-1671912841.7z"
"0029","+","Remiros' Groundcover","","Miscellaneous",46733,"https://www.nexusmods.com/morrowind/mods/46733","4.1.0.0","2025/03/25 21:16:47","Remiros' Groundcover-46733-4-1-1675861420.7z"
"0030","+","Landscape Waterfalls MW","","Towns and Villages",45068,"https://www.nexusmods.com/morrowind/mods/45068","3.0.0.0","2025/03/25 21:16:52","Landscape Waterfalls 3.0 (On the Rocks Compatible)-45068-3-0.rar"
"0031","+","Where are all birds going","","Creatures",43128,"https://www.nexusmods.com/morrowind/mods/43128","1.19.0.0","2025/03/25 21:16:59","abotWhereAreAllBirdsGoing119-43128-1-19-1630325340.7z"
"0032","+","Magicka Expanded","","Magic",47111,"https://www.nexusmods.com/morrowind/mods/47111","3.0.3.0","2025/03/25 21:17:12","Magicka Expanded-47111-3-0-3-1719837299.7z"
"0033","+","HUD Mods","","Utilities",41102,"https://www.nexusmods.com/morrowind/mods/41102","0.9.3.0","2025/03/25 21:18:52","HUD Mods-41102-0-9-3.7z"
"0034","+","Illuminated Order","","Guilds/Factions",42658,"https://www.nexusmods.com/morrowind/mods/42658","1.0.0.0c","2025/03/25 21:27:12","Illuminated Order-42658-1-0c.zip"
"0035","+","Dreamers Expansion","","NPCs",42990,"https://www.nexusmods.com/morrowind/mods/42990","3.8.0.0","2025/03/25 21:35:55","Dreamers Expansion-42990-3-8.7z"
"0036","+","Sixth House Advanced","","Gameplay",38826,"https://www.nexusmods.com/morrowind/mods/38826","2.1.0.0","2025/03/25 21:36:05","Sixth House Advanced-38826-2-1.zip"
"0037","+","Cutting Room Floor","","Miscellaneous",47307,"https://www.nexusmods.com/morrowind/mods/47307","1.7.0.0","2025/03/25 21:36:11","Cutting Room Floor - Merged-47307-v1-7-1739761085.zip"
"0038","+","Dagoth Creatures Replacer","","",0,"","d2022.2.28.0","2025/03/25 21:37:48","C:/Users/New/Desktop/Dagoth Creatures Replacer.7z"
"0039","+","The Doors of Oblivion","","Quests and Adventures",44398,"https://www.nexusmods.com/morrowind/mods/44398","1.4.0.0","2025/03/25 21:45:04","The Doors of Oblivion 1.4-44398-1-4.rar"
"0040","+","Pimp My Shrine - The Daedric Legend of Vernaccus","","Quests and Adventures",49173,"https://www.nexusmods.com/morrowind/mods/49173","1.0.11.0","2025/03/25 21:48:01","Pimp My Shrine-49173-1-0-11-1670767867.7z"
"0041","+","Starfire's npc Additions - Danae's Edits and Fixes","","NPCs",47543,"https://www.nexusmods.com/morrowind/mods/47543","1.1.1.0","2025/03/25 21:48:14","Interior Update-47543-1-1-1-1601926570.rar"
"0042","+","Beware the Sixth House (Sixth House Overhaul)","","Gameplay",46036,"https://www.nexusmods.com/morrowind/mods/46036","3.0.2.0","2025/03/25 22:38:10","Beware the Sixth House-46036-3-0-2-1669588136.7z"
"0043","+","Beware The Sixth House - Adjustment Patch","","Gameplay",51877,"https://www.nexusmods.com/morrowind/mods/51877","0.1.0.0","2025/03/25 22:38:16","Beware The Sixth House - Adjustment Patch-51877-0-1-1666898002.7z"
"0044","+","CalmCorprus Fix (for Great House Dagoth)","","Bug Fixes",48949,"https://www.nexusmods.com/morrowind/mods/48949","f1.00","2025/03/25 22:39:11","CalmCorprus Fix-48949-1-00-1602885202.zip"
"0045","+","Dagoth Ur Fleshed Out","","Dungeons and Locations",54070,"https://www.nexusmods.com/morrowind/mods/54070","1.2.0.0","2025/03/25 22:40:39","Dagoth Ur Fleshed Out-54070-1-2-1741401948.7z"
"0046","+","The Tribe Unmourned","","Guilds/Factions",23357,"https://www.nexusmods.com/morrowind/mods/23357","d2025.3.25.0","2025/03/25 22:40:45","TTU1_2-23357.7z"
"0047","+","Official Plugins","","Official Plugins",3882,"https://www.nexusmods.com/morrowind/mods/3882","1.0.0.0","2025/03/25 22:46:14","Official Mods Compilation-3882.zip"
"0048","+","Resdayn Revival - Bitter Coast","","Overhauls",47772,"https://www.nexusmods.com/morrowind/mods/47772","2.0.0.0","2025/03/25 22:48:58","Resdayn Revival Bitter coast-47772-2-0-1653251916.7z"
"0049","+","Smart Journal","","User Interface",47492,"https://www.nexusmods.com/morrowind/mods/47492","1.19.0.0","2025/03/26 01:21:08","abotSmartJournal-47492-1-19-1723536234.7z"
"0050","+","Simple HUD for OpenMW (with compass or minimap)","","User Interface",53038,"https://www.nexusmods.com/morrowind/mods/53038","1.2.0.0","2025/03/26 15:05:20","Simple HUD for OpenMW-53038-1-2-1686390733.zip"
"0051","+","Accurate Attack","","Gameplay",23746,"https://www.nexusmods.com/morrowind/mods/23746","d2025.3.26.0","2025/03/26 21:19:02","Accurate Attack -23746.rar"
"0052","+","Morrowind Optimization Patch","","Patches",45384,"https://www.nexusmods.com/morrowind/mods/45384","1.17.0.0","2025/03/26 21:19:17","Morrowind Optimization Patch-45384-1-17-0-1675865257.7z"
"0053","+","TR Firemoth Remover","","New Lands",42145,"https://www.nexusmods.com/morrowind/mods/42145","1.0.0.0","2025/03/26 21:19:40","TR Firemoth Remover-42145-1-0-1734909247.7z"
"0054","+","Better Bodies","","Models and Textures",42399,"https://www.nexusmods.com/morrowind/mods/42399","2.2.0.0","2025/03/26 21:19:48","Better Bodies-42399-2-2.rar"
"0055","+","Beautiful Cities of Morrowind","","Overhauls",49231,"https://www.nexusmods.com/morrowind/mods/49231","3.2.4.0","2025/03/26 21:20:46","Beautiful Cities of Morrowind - BCOM Core-49231-3-2-4-1740865886.7z"
"0056","+","Beautiful Cities of Morrowind - Patches","","Overhauls",49231,"https://www.nexusmods.com/morrowind/mods/49231","3.2.2.0","2025/03/26 21:28:51","Beautiful Cities of Morrowind - Patches-49231-3-2-3-1737483907.7z"
"0057","+","Adamantium Ore Fix","","Bug Fixes",47068,"https://www.nexusmods.com/morrowind/mods/47068","1.0.0.0","2025/03/26 21:22:30","Adamantium Ore Fix-47068-1-0-1610557719.zip"
"0058","+","Descriptive NPC Classes","","Bug Fixes",47068,"https://www.nexusmods.com/morrowind/mods/47068","1.1.0.0","2025/03/26 21:22:50","Descriptive NPC Classes-47068-1-1-1582214441.7z"
"0059","+","Services Restored","","Bug Fixes",47068,"https://www.nexusmods.com/morrowind/mods/47068","1.2.0.0","2025/03/26 21:23:00","Services Restored-47068-1-2-1592673984.7z"
"0060","+","Expansion Delay","","Bug Fixes",47588,"https://www.nexusmods.com/morrowind/mods/47588","1.3.0.0","2025/03/26 21:23:21","Expansion Delay-47588-1-3-1612481103.zip"
"0061","+","Better Robes","","Models and Textures",42773,"https://www.nexusmods.com/morrowind/mods/42773","0.3.1.0","2025/03/26 21:23:36","Better Robes ENG-42773-0-3-1.7z"
"0062","+","Telvanni - Arkitektora of Vvardenfell","","Models and Textures",43530,"https://www.nexusmods.com/morrowind/mods/43530","1.1.0.0","2025/03/26 21:23:42","AoVv Telvanni HQ-43530-1-1.7z"
"0063","+","TR_Data.esm fix","","Bug Fixes",52619,"https://www.nexusmods.com/morrowind/mods/52619","69.420.0.0","2025/03/26 21:26:21","TR_Data.esm Fix-52619-69-420-1680711881.zip"
"0064","+","Better Morrowind Armor ENG","","Models and Textures",42509,"https://www.nexusmods.com/morrowind/mods/42509","d2025.3.26.0","2025/03/26 21:33:24","C:/Users/New/Desktop/Better Morrowind Armor ENG-42509-0-5-2RC.7z"
"0065","+","Better_Clothes","","Items, Objects, and Clothes",42262,"https://www.nexusmods.com/morrowind/mods/42262","d2025.3.26.0","2025/03/26 21:36:00","C:/Users/New/Desktop/Better_Clothes-42262-1-1.zip"
"0066","+","Kogoruhn Expanded","","Dungeons and Locations",46098,"https://www.nexusmods.com/morrowind/mods/46098","f1.03","2025/03/28 00:03:47","Kogoruhn Expanded-46098-1-03-1541608634.7z"
"0067","-","Welcome to the Arena","","Guilds/Factions",22002,"https://www.nexusmods.com/morrowind/mods/22002","6.7.0.0","2025/03/28 00:23:30","Welcome to the Arena-22002-6-7-1589470936.7z"
